Date,Time,Location,Sub-location,Source,Notes,Longitude,Latitude,Postal,Area
6/25/2021,1525h - 2320h,Oue Downtown 1 (6 Shenton Way),Oakwood Premier Amtd Singapore,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.8485181,1.277183879,NIL,Marina East
6/25/2021,1400h - 1430h,Clementi 448 Market & Food Centre (448 Clementi Avenue  3),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.7645213,1.313060361,120448,Clementi
6/25/2021,1045h - 1115h,Albert Centre (270 Queen Street),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.8541219,1.301091805,180270,Rochor
6/25/2021,1935h - 2115h,Lau Pa Sat (18 Raffles Quay),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.8503603,1.280593133,48582,Straits View
6/24/2021,1645h - 1715h,National University Hospital Medical Centre (1 Lower Kent  Ridge Road),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.784084,1.29277432,119082,Queenstown
6/24/2021,1400h - 1430h,Ntuc Fairprice (166 Bukit Merah Central),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.8176637,1.283056643,150166,Bukit Merah
6/24/2021,0950h - 1035h,Mukmin Restaurant Bedok (129 Bedok North Street 2),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.9380305,1.327554432,460129,Bedok
6/24/2021,1230h - 1330h,Toh Guan Centre (21 Toh Guan Road East),Shi Fu Food Court,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes-(7)71dc310f0e39421e93aafdc8ca73c4fd.pdf?sfvrsn=82e573ec_0,Added/Updated on 2021-06-29,103.7546715,1.337657986,608609,Bukit Batok
6/24/2021,1230h - 1300h,Varinice Eating House (450 Clementi Avenue 3),Golden Rooster Clementi,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.7654763,1.313538861,120450,Clementi
6/24/2021,1710h - 2210h,Nkf Dialysis Centre (935 Tampines Street 91),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.9410774,1.345634287,520935,Tampines
6/23/2021,1200h - 1230h,Depot Heights Shopping Centre (108 Depot Road),Yue Hua Food Court,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.8102982,1.280966807,100108,Bukit Merah
6/23/2021,0850h - 1000h,Afghanistan Family Restaurant (201E Tampines Street 23),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.9538583,1.352921625,NIL,Tampines
6/23/2021,0710h - 0740h,112 Jalan Bukit Merah Market And Food Centre,NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.9538583,1.352921625,NIL,Tampines
6/23/2021,1425h - 1540h,Sheng Siong Supermarket (19 Serangoon North Avenue 5),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.8720121,1.375653673,554913,Seletar
6/23/2021,1645h - 1715h,National University Hospital Medical Centre (1 Lower Kent  Ridge Road),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.784084,1.29277432,119082,Queenstown
6/23/2021,1535h - 1745h,Tampines 1 (10 Tampines Central 1),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.9451412,1.354323212,529536,Tampines
6/22/2021,1345h - 1510h,Hotel 81 Selegie (161 Selegie Road),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.8498841,1.303284406,188318,Rochor
6/22/2021,1230h - 1335h,Tampines Central Community Complex (866A Tampines  Street 83),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.9345921,1.35528927,521866,Tampines
6/22/2021,2145h - 2225h,Orchard Central (181 Orchard Road),NaN,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25,103.8396924,1.300723504,238896,River Valley
6/22/2021,2010h - 2100h,Lucky Plaza (304 Orchard Road),J Star Mobile Electronic,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25,103.8340052,1.30446379,NIL,Orchard
6/22/2021,1820h - 1850h,Tiong Bahru Plaza (302 Tiong Bahru Road),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.8271583,1.2864712,168732,Bukit Merah
6/22/2021,1905h - 1940h,Plaza Singapura (68 Orchard Road),Kopitiam,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25,103.8450673,1.300820718,238839,Museum
6/22/2021,2055h - 2130h,Han’S @ Springleaf Garden (906 Upper Thomson Road),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.8186321,1.397584012,787110,Ang Mo Kio
6/22/2021,1945h - 2045h,Ancient Dynasty Massage & Spa (5 Thong Soon Avenue),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28,103.8187727,1.397203484,787433,Ang Mo Kio
6/22/2021,2015h - 2200h,Courts Megastore (50 Tampines North Drive 2),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.933847,1.373529764,528766,Pasir Ris
6/22/2021,1750h - 2020h,Ikea Tampines (60 Tampines North Drive 2),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.9324941,1.374026578,528764,Pasir Ris
6/22/2021,2110h - 2145h,313@Somerset (313 Orchard Road),NaN,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25,103.8383505,1.300978082,238895,River Valley
6/21/2021,1835h - 1940h,Peperoni Pizzeria (267 Upper Thomson Road),NaN,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25,103.8333073,1.353673339,574394,Ang Mo Kio
6/21/2021,1800h - 1900h,Guan Kim Restaurant (47 Tanglin Halt Road),NaN,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23,103.7980771,1.300792761,141047,Queenstown
6/21/2021,0800h - 0955h,Eastpoint Mall (3 Simei Street 6),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.9530508,1.342691998,528833,Tampines
6/21/2021,1830h - 2000h,Grand Hyatt Singapore (10 Scotts Road),Straitskitchen,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24,103.8333113,1.306312724,228211,Orchard
6/21/2021,0630h - 0900h,Redhill Market (79 Redhill Lane),NaN,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23,103.8183498,1.287847028,150079,Bukit Merah
6/20/2021,0945h - 2000h,Ion Orchard (2 Orchard Turn),Monster Curry,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24,103.8317743,1.30419842,NIL,Orchard
6/20/2021,1820h - 1855h,Hotel 81 Selegie (161 Selegie Road),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.8498841,1.303284406,188318,Rochor
6/20/2021,1100h - 1400h,Redhill Market (79 Redhill Lane),NaN,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23,103.8183498,1.287847028,150079,Bukit Merah
6/20/2021,1100h - 1330h,Katong Shopping Centre (865 Mountbatten Road),Top Employment Pte Ltd,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22,103.9009521,1.303813235,NIL,Marine Parade
6/20/2021,0630h - 0900h,Redhill Market (79 Redhill Lane),NaN,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23,103.8183498,1.287847028,150079,Bukit Merah
6/20/2021,0640h - 0710h,Giant Express (86 Redhill Close),NaN,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23,103.8186736,1.286920062,150086,Bukit Merah
6/20/2021,1700h - 1900h,Redhill Market (79 Redhill Lane),NaN,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23,103.8183498,1.287847028,150079,Bukit Merah
6/20/2021,1755h - 1930h,Great World City (1 Kim Seng Promenade),NaN,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.8319759,1.293475962,NIL,River Valley
6/20/2021,0810h - 0900h,Eastpoint Mall (3 Simei Street 6),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26,103.9530508,1.342691998,528833,Tampines
